,City,Country,Date,Latitude,Longitude,Max Temperature,Humidity,Cloudiness,Wind Speed
0,Ţahţā,EG,1600029003,26.77,31.5,31.0,27,0,1.0
1,Albany,US,1600029004,42.6,-73.97,23.33,67,65,2.94
2,Hobart,AU,1600028750,-42.88,147.33,8.0,61,20,8.2
3,Rikitea,PF,1600029004,-23.12,-134.97,23.1,84,0,6.09
4,Busselton,AU,1600029004,-33.65,115.33,13.33,63,100,3.02
5,Mataura,NZ,1600028823,-46.19,168.86,11.11,92,100,2.68
6,Port Alfred,ZA,1600029005,-33.59,26.89,15.01,64,0,4.15
7,Asău,RO,1600029006,46.43,26.4,15.0,91,4,2.14
8,Boddam,GB,1600029007,57.47,-1.78,17.78,82,22,9.3
9,Lithakia,GR,1600029007,37.72,20.83,27.0,83,0,0.7
10,Kieta,PG,1600029007,-6.22,155.63,27.26,74,76,2.32
11,Hermanus,ZA,1600029008,-34.42,19.23,13.33,75,35,3.13
12,Bethel,US,1600029008,41.37,-73.41,23.33,64,75,4.1
13,Fortuna,US,1600029008,40.6,-124.16,15.56,100,75,3.46
14,Papara,BR,1600029009,-3.98,-38.73,28.0,65,20,8.2
15,Nyuksenitsa,RU,1600029009,60.41,44.24,7.95,91,0,5.06
16,Boa Vista,BR,1600028709,2.82,-60.67,36.0,37,40,2.6
17,Hithadhoo,MV,1600029009,-0.6,73.08,27.43,69,85,2.5
18,Srednekolymsk,RU,1600029009,67.45,153.68,6.99,70,0,2.35
19,Punta Arenas,CL,1600028781,-53.15,-70.92,7.0,67,100,9.8
20,Yozgat Province,TR,1600029010,39.58,35.33,19.69,55,0,1.73
21,Plettenberg Bay,ZA,1600029010,-34.05,23.37,13.61,60,0,4.97
22,Tateyama,JP,1600029010,34.98,139.87,22.78,93,2,1.34
23,Vestmanna,FO,1600029010,62.16,-7.17,9.0,87,98,2.6
24,Moranbah,AU,1600029011,-22.0,148.05,15.45,95,43,5.68
25,Provideniya,RU,1600029011,64.38,-173.3,9.0,87,90,7.0
26,Boone,US,1600029011,39.03,-92.33,24.44,58,0,0.45
27,Lagos,NG,1600028542,6.58,3.75,28.0,65,20,1.5
28,Ushuaia,AR,1600028796,-54.8,-68.3,7.0,67,100,2.21
29,Yumen,CN,1600029011,40.28,97.2,7.37,49,0,1.94
30,Sitka,US,1600029012,57.05,-135.33,16.0,38,1,1.5
31,Puerto Ayora,EC,1600029012,-0.74,-90.35,26.0,54,20,3.1
32,Altay,CN,1600029012,47.87,88.12,8.41,50,0,1.44
33,Sibolga,ID,1600029013,1.74,98.78,24.8,79,94,1.58
34,Qaanaaq,GL,1600029013,77.48,-69.36,-5.18,81,4,3.37
35,Rawson,AR,1600029013,-43.3,-65.1,10.58,47,0,4.28
36,Lüshunkou,CN,1600029013,38.8,121.27,18.0,93,87,3.0
37,Mar del Plata,AR,1600028798,-38.0,-57.56,12.22,54,100,5.1
